,Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,Component 3,Role 3,Mole Fraction 3,Exact Amount 3,EnthalpyOfMixing Value (kJ / mol),EnthalpyOfMixing Uncertainty (kJ / mol),DielectricConstant Value (),DielectricConstant Uncertainty (),Density Value (g / ml),Density Uncertainty (g / ml),ExcessMolarVolume Value (cm ** 3 / mol),ExcessMolarVolume Uncertainty (cm ** 3 / mol),Source,match
3641,6786167577470255782,298.15,101.0,Liquid,2,CCCCC,Solvent,0.2498,,Cc1ccccc1,Solvent,0.7502,,,,,,,,,,0.8003200000000003,0.00035,,,10.1016/j.jct.2005.10.011,phe
3657,-4530020329632787037,303.15,101.0,Liquid,2,Cc1ccccc1,Solvent,0.2304,,O=[N+]([O-])c1ccccc1,Solvent,0.7696000000000001,,,,,,,,,,1.1157300000000003,0.00085,,,10.1016/j.jct.2004.12.008,phe
3658,-6849966284718787567,303.15,101.0,Liquid,2,Cc1ccccc1,Solvent,0.5072,,O=[N+]([O-])c1ccccc1,Solvent,0.4928,,,,,,,,,,1.0227300000000004,0.000585,,,10.1016/j.jct.2004.12.008,phe
3659,-4411246191477858423,303.15,101.0,Liquid,2,Cc1ccccc1,Solvent,0.7235,,O=[N+]([O-])c1ccccc1,Solvent,0.2764999999999999,,,,,,,,,,0.9502700000000002,0.000785,,,10.1016/j.jct.2004.12.008,phe
3678,-5144740422999376590,308.15,100.0,Liquid,2,Cc1ccccc1,Solvent,0.7223999999999999,,Cc1ccccc1N,Solvent,0.2776,,,,,,0.2743,0.00305,,,,,,,10.1016/j.tca.2007.12.006,phe
3679,-7202343014100925306,308.15,100.0,Liquid,2,Cc1ccccc1,Solvent,0.5287,,Cc1ccccc1N,Solvent,0.4713,,,,,,0.4336,0.00475,,,,,,,10.1016/j.tca.2007.12.006,phe
3680,4799198186226542869,308.15,100.0,Liquid,2,Cc1ccccc1,Solvent,0.262,,Cc1ccccc1N,Solvent,0.738,,,,,,0.385,0.0042,,,,,,,10.1016/j.tca.2007.12.006,phe
3696,3152637957926541903,308.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.2806,,Cc1ccccc1,Solvent,0.7194,,,,,,-0.1687,0.00195,,,,,,,10.1016/j.jct.2010.07.016,phe
3697,-2908168551989611665,308.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.5319,,Cc1ccccc1,Solvent,0.4680999999999999,,,,,,-0.2225,0.0025,,,,,,,10.1016/j.jct.2010.07.016,phe
3698,3092303130313010359,308.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.7413,,Cc1ccccc1,Solvent,0.2587,,,,,,-0.1629,0.0019,,,,,,,10.1016/j.jct.2010.07.016,phe
3699,7449747942560048996,298.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.2387,,Cc1ccccc1,Solvent,0.7613,,,,,,,,,,0.8669900000000003,0.000505,,,10.1021/je5004719,phe
3700,-5811742645464383448,298.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.4915,,Cc1ccccc1,Solvent,0.5085,,,,,,,,,,0.8715100000000002,0.000505,,,10.1021/je5004719,phe
3701,-6228714700386361271,298.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.7321,,Cc1ccccc1,Solvent,0.2679,,,,,,,,,,0.8754100000000001,0.000505,,,10.1021/je5004719,phe
3849,-6322240539737266148,298.15,101.0,Liquid,2,CCC(=O)c1ccccc1,Solvent,0.72227,,Cc1ccccc1,Solvent,0.27773,,,,,,,,,,0.9731300000000004,0.00012,,,10.1016/j.jct.2005.01.007,phe
3850,8682364020170487593,298.15,101.0,Liquid,2,CCC(=O)c1ccccc1,Solvent,0.5452699999999999,,Cc1ccccc1,Solvent,0.45473,,,,,,,,,,0.9500900000000002,0.00014,,,10.1016/j.jct.2005.01.007,phe
3851,1287083562580322714,298.15,101.0,Liquid,2,CCC(=O)c1ccccc1,Solvent,0.27966,,Cc1ccccc1,Solvent,0.72034,,,,,,,,,,0.9109000000000002,0.000175,,,10.1016/j.jct.2005.01.007,phe
3888,6426142182849961542,303.15,100.0,Liquid,2,Cc1ccccc1,Solvent,0.744,,Cc1cnccn1,Solvent,0.256,,,,,,0.048,0.0025,,,,,,,10.1016/j.fluid.2015.03.033,phe
3889,4700366892934377194,303.15,100.0,Liquid,2,Cc1ccccc1,Solvent,0.525,,Cc1cnccn1,Solvent,0.475,,,,,,0.075,0.004,,,,,,,10.1016/j.fluid.2015.03.033,phe
3890,744330298254623418,303.15,100.0,Liquid,2,Cc1ccccc1,Solvent,0.24,,Cc1cnccn1,Solvent,0.76,,,,,,0.029,0.0015,,,,,,,10.1016/j.fluid.2015.03.033,phe
3903,-6460237524246444847,298.15,101.0,Liquid,2,CCC(C)=O,Solvent,0.7376,,Cc1ccccc1,Solvent,0.2624,,,,,,,,,,0.8193000000000001,0.00085,,,10.1016/j.jct.2009.12.008,phe
3904,-3240057819717163046,298.15,101.0,Liquid,2,CCC(C)=O,Solvent,0.4445,,Cc1ccccc1,Solvent,0.5555,,,,,,,,,,0.8388000000000001,0.00085,,,10.1016/j.jct.2009.12.008,phe
3905,-3359686055816490522,298.15,101.0,Liquid,2,CCC(C)=O,Solvent,0.2309999999999999,,Cc1ccccc1,Solvent,0.769,,,,,,,,,,0.8503000000000002,0.00085,,,10.1016/j.jct.2009.12.008,phe
4222,6879684701371004730,298.15,101.0,Liquid,2,CCCOC(=O)CC,Solvent,0.2389,,Cc1ccccc1,Solvent,0.7611,,,,,,-0.1404,0.0037,,,,,,,10.1016/j.jct.2006.08.011,phe
4223,7533955396943070035,298.15,101.0,Liquid,2,CCCOC(=O)CC,Solvent,0.5486,,Cc1ccccc1,Solvent,0.4514,,,,,,-0.1583,0.004,,,,,,,10.1016/j.jct.2006.08.011,phe
4224,-6281380511310672276,298.15,101.0,Liquid,2,CCCOC(=O)CC,Solvent,0.7394,,Cc1ccccc1,Solvent,0.2606,,,,,,-0.1135,0.0033,,,,,,,10.1016/j.jct.2006.08.011,phe
4225,-3921203292334636021,298.15,101.3,Liquid,2,CCCOC(=O)CC,Solvent,0.2747,,Cc1ccccc1,Solvent,0.7253000000000001,,,,,,,,,,0.8675700000000003,0.00018,,,10.1016/j.jct.2006.08.011,phe
4226,-3322916362858866865,298.15,101.3,Liquid,2,CCCOC(=O)CC,Solvent,0.4907,,Cc1ccccc1,Solvent,0.5093,,,,,,,,,,0.8707300000000002,0.00019,,,10.1016/j.jct.2006.08.011,phe
4227,8141441845036049617,298.15,101.3,Liquid,2,CCCOC(=O)CC,Solvent,0.7346,,Cc1ccccc1,Solvent,0.2653999999999999,,,,,,,,,,0.8734100000000001,0.00021,,,10.1016/j.jct.2006.08.011,phe
4359,-2940990921721055112,298.15,101.3,Liquid,2,CN(C)C=O,Solvent,0.7413,,Cc1ccccc1,Solvent,0.2587,,,,,,,,,,0.9222000000000002,0.00045,,,10.1021/je040012q,phe
4360,-1885533597174782738,298.15,101.3,Liquid,2,CN(C)C=O,Solvent,0.5508,,Cc1ccccc1,Solvent,0.4492,,,,,,,,,,0.9050000000000002,0.0001,,,10.1021/je0201323,phe
4361,-5880434913129312487,298.15,101.3,Liquid,2,CN(C)C=O,Solvent,0.2451999999999999,,Cc1ccccc1,Solvent,0.7548,,,,,,,,,,0.8809000000000002,0.0001,,,10.1021/je0201323,phe
4434,7752683724990532565,298.15,101.0,Liquid,2,CCCCCO,Solvent,0.2507,,Cc1ccccc1,Solvent,0.7493000000000001,,,,,,1.0212,0.01095,,,,,,,10.1016/j.fluid.2012.01.007,phe
4435,-4431324360251102551,298.15,101.0,Liquid,2,CCCCCO,Solvent,0.5016,,Cc1ccccc1,Solvent,0.4983999999999999,,,,,,0.9595,0.0103,,,,,,,10.1016/j.fluid.2012.01.007,phe
4436,7159740716843140803,298.15,101.0,Liquid,2,CCCCCO,Solvent,0.7507,,Cc1ccccc1,Solvent,0.2492999999999999,,,,,,0.5289,0.00575,,,,,,,10.1016/j.fluid.2012.01.007,phe
4443,4777511868649289897,298.15,101.0,Liquid,2,CCCCN(CCCC)CCCC,Solvent,0.2401,,Cc1ccccc1,Solvent,0.7599,,,,,,,,,,0.8241400000000002,7.500000000000002e-05,,,10.1016/j.jct.2011.10.027,phe
4444,-5720636538778177623,298.15,101.0,Liquid,2,CCCCN(CCCC)CCCC,Solvent,0.4789,,Cc1ccccc1,Solvent,0.5211,,,,,,,,,,0.8012500000000002,8.500000000000002e-05,,,10.1016/j.jct.2011.10.027,phe
4445,-8525609558570954286,298.15,101.0,Liquid,2,CCCCN(CCCC)CCCC,Solvent,0.7238,,Cc1ccccc1,Solvent,0.2762,,,,,,,,,,0.7855600000000001,0.0001,,,10.1016/j.jct.2011.10.027,phe
4497,-1255603214300592172,298.15,101.0,Liquid,2,Cc1ccccc1,Solvent,0.8009999999999999,,c1ccoc1,Solvent,0.199,,,,,,,,,,0.8750000000000002,5.0000000000000016e-05,,,10.1016/j.fluid.2012.08.005,phe
4498,-371510443879036033,298.15,101.0,Liquid,2,Cc1ccccc1,Solvent,0.493,,c1ccoc1,Solvent,0.507,,,,,,,,,,0.8932000000000002,5.0000000000000016e-05,,,10.1016/j.fluid.2012.08.005,phe
4499,-7478515470023277207,298.15,101.0,Liquid,2,Cc1ccccc1,Solvent,0.239,,c1ccoc1,Solvent,0.761,,,,,,,,,,0.9124000000000002,0.0001,,,10.1016/j.fluid.2012.08.005,phe
4500,2379064827357860203,298.15,101.32,Liquid,2,CCI,Solvent,0.7986,,Cc1ccccc1,Solvent,0.2014,,,,,,,,,,1.6558000000000004,0.0005,,,10.1016/j.jct.2005.05.004,phe
4501,3240053287163311884,298.15,101.32,Liquid,2,CCI,Solvent,0.5039,,Cc1ccccc1,Solvent,0.4961,,,,,,,,,,1.3205000000000002,0.0004,,,10.1016/j.jct.2005.05.004,phe
4502,-4142316900965711160,298.15,101.32,Liquid,2,CCI,Solvent,0.2724,,Cc1ccccc1,Solvent,0.7276,,,,,,,,,,1.0946000000000002,0.00035,,,10.1016/j.jct.2005.05.004,phe
4512,-3115891871813456131,298.15,101.32,Liquid,2,CO,Solvent,0.8009999999999999,,Cc1ccccc1,Solvent,0.199,,,,,,,,,,0.8181000000000003,0.0002,,,10.1016/j.jct.2005.05.004,ser
4513,3125955268674230755,298.15,101.32,Liquid,2,CO,Solvent,0.4976,,Cc1ccccc1,Solvent,0.5024,,,,,,,,,,0.8424000000000001,0.0002,,,10.1016/j.jct.2005.05.004,ser
4514,5935302004113866125,298.15,101.32,Liquid,2,CO,Solvent,0.2236,,Cc1ccccc1,Solvent,0.7764,,,,,,,,,,0.8548000000000001,0.0002,,,10.1016/j.jct.2005.05.004,ser
4641,7157236171514132822,293.15,101.0,Liquid,2,Cc1ccccc1,Solvent,0.2562,,O=C1CCCO1,Solvent,0.7438,,,,,,,,,,1.0500600000000002,0.0105,,,10.1016/j.jct.2006.10.005,phe
4642,-8926241359356474942,303.15,101.0,Liquid,2,Cc1ccccc1,Solvent,0.5085,,O=C1CCCO1,Solvent,0.4915,,,,,,,,,,0.9721200000000002,0.009725,,,10.1016/j.jct.2006.10.005,phe
4643,-5830452706822298949,303.15,101.0,Liquid,2,Cc1ccccc1,Solvent,0.7545,,O=C1CCCO1,Solvent,0.2455,,,,,,,,,,0.9123200000000002,0.00913,,,10.1016/j.jct.2006.10.005,phe
4792,-8013763820378027015,298.15,101.0,Liquid,2,Cc1ccccc1,Solvent,0.7481,,ClC(Cl)C(Cl)Cl,Solvent,0.2519,,,,,,-0.709,0.0145,,,,,,,10.1016/j.fluid.2006.10.013,phe
4793,3881562374589181005,298.15,101.0,Liquid,2,Cc1ccccc1,Solvent,0.4975,,ClC(Cl)C(Cl)Cl,Solvent,0.5025,,,,,,-0.955,0.0195,,,,,,,10.1016/j.fluid.2006.10.013,phe
4794,-2945582024495588108,298.15,101.0,Liquid,2,Cc1ccccc1,Solvent,0.1984,,ClC(Cl)C(Cl)Cl,Solvent,0.8016,,,,,,-0.571,0.0115,,,,,,,10.1016/j.fluid.2006.10.013,phe
4936,3435716957321259970,298.15,100.0,Liquid,2,CC(=O)O,Solvent,0.7963,,Cc1ccccc1,Solvent,0.2037,,,,,,,,,,0.9780000000000002,0.002,,,10.1016/j.jct.2017.07.035,asp
4937,-2192684744861590521,298.15,100.0,Liquid,2,CC(=O)O,Solvent,0.5059,,Cc1ccccc1,Solvent,0.4941,,,,,,,,,,0.9190000000000004,0.002,,,10.1016/j.jct.2017.07.035,asp
4938,216509836418985597,298.15,100.0,Liquid,2,CC(=O)O,Solvent,0.2065,,Cc1ccccc1,Solvent,0.7935,,,,,,,,,,0.8810000000000002,0.002,,,10.1016/j.jct.2017.07.035,asp
4942,6888654518826856281,298.15,100.0,Liquid,2,CCCCCCO,Solvent,0.7966,,Cc1ccccc1,Solvent,0.2034,,,,,,,,,,0.8240000000000002,0.002,,,10.1016/j.jct.2017.07.035,phe
4943,8864704406785148702,298.15,100.0,Liquid,2,CCCCCCO,Solvent,0.5032,,Cc1ccccc1,Solvent,0.4968,,,,,,,,,,0.8360000000000002,0.002,,,10.1016/j.jct.2017.07.035,phe
4944,2737120141539248007,298.15,100.0,Liquid,2,CCCCCCO,Solvent,0.2017999999999999,,Cc1ccccc1,Solvent,0.7982,,,,,,,,,,0.8500000000000002,0.002,,,10.1016/j.jct.2017.07.035,phe
5307,-8455727844308645177,298.15,101.0,Liquid,2,CC#N,Solvent,0.7579,,Cc1ccccc1,Solvent,0.2421,,,,,,,,,,0.8126000000000002,0.00015,,,10.1016/j.tca.2009.10.001,phe
5308,-2459137660223342141,298.15,101.0,Liquid,2,CC#N,Solvent,0.5001,,Cc1ccccc1,Solvent,0.4999,,,,,,,,,,0.8359900000000002,7.500000000000002e-05,,,10.1016/j.fluid.2015.01.002,phe
5309,-4947975343084181480,298.15,101.0,Liquid,2,CC#N,Solvent,0.1998999999999999,,Cc1ccccc1,Solvent,0.8001,,,,,,,,,,0.8547400000000002,7.000000000000002e-05,,,10.1016/j.fluid.2015.01.002,phe
5310,1572806896232264337,298.15,101.0,Liquid,2,CCC#N,Solvent,0.7836,,Cc1ccccc1,Solvent,0.2164,,,,,,,,,,0.8026000000000002,0.00015,,,10.1016/j.tca.2009.10.001,phe
5311,4617194853526405184,298.15,101.0,Liquid,2,CCC#N,Solvent,0.5083,,Cc1ccccc1,Solvent,0.4917,,,,,,,,,,0.8294000000000001,0.00015,,,10.1016/j.tca.2009.10.001,phe
5312,5296446333275813978,298.15,101.0,Liquid,2,CCC#N,Solvent,0.2825999999999999,,Cc1ccccc1,Solvent,0.7174,,,,,,,,,,0.8457000000000002,0.00015,,,10.1016/j.tca.2009.10.001,phe
5313,5226187764900863015,298.15,101.0,Liquid,2,CCCC#N,Solvent,0.7463,,Cc1ccccc1,Solvent,0.2537,,,,,,,,,,0.8086000000000002,0.00015,,,10.1016/j.tca.2009.10.001,phe
5314,-1106888434877494818,298.15,101.0,Liquid,2,CCCC#N,Solvent,0.4565,,Cc1ccccc1,Solvent,0.5435,,,,,,,,,,0.8322000000000003,0.00015,,,10.1016/j.tca.2009.10.001,phe
5315,-1070123784981811027,298.15,101.0,Liquid,2,CCCC#N,Solvent,0.241,,Cc1ccccc1,Solvent,0.759,,,,,,,,,,0.8469000000000002,0.00015,,,10.1016/j.tca.2009.10.001,phe
5539,-290351196452884533,308.15,101.3,Liquid,2,CCCCOC(C)=O,Solvent,0.2873,,Cc1ccccc1,Solvent,0.7127,,,,,,-0.05,0.0012,,,,,,,10.1016/j.fluid.2005.06.011,phe
5540,-2473601931103525442,308.15,101.3,Liquid,2,CCCCOC(C)=O,Solvent,0.502,,Cc1ccccc1,Solvent,0.498,,,,,,-0.0618,0.0013,,,,,,,10.1016/j.fluid.2005.06.011,phe
5541,-7148437215333819967,308.15,101.3,Liquid,2,CCCCOC(C)=O,Solvent,0.7435,,Cc1ccccc1,Solvent,0.2564999999999999,,,,,,-0.052,0.0012,,,,,,,10.1016/j.fluid.2005.06.011,phe
5566,-7859246086344816407,298.15,101.0,Liquid,2,COc1ccccc1,Solvent,0.5157,,Cc1ccccc1,Solvent,0.4842999999999999,,,,,,,,,,0.9294300000000002,0.00032,,,10.1016/j.jct.2006.02.001,phe
5567,-3918934650945680948,298.15,101.0,Liquid,2,COc1ccccc1,Solvent,0.2132,,Cc1ccccc1,Solvent,0.7867999999999999,,,,,,,,,,0.8899880000000002,0.000157,,,10.1021/je060170c,phe
5568,-738024819213859749,298.15,101.0,Liquid,2,COc1ccccc1,Solvent,0.7382,,Cc1ccccc1,Solvent,0.2618,,,,,,,,,,0.9567770000000004,0.0001265,,,10.1021/je060170c,phe
5658,8990241334882923434,298.15,101.0,Liquid,2,COCCO,Solvent,0.5001,,Cc1ccccc1,Solvent,0.4999,,,,,,,,,,0.9026500000000002,7.500000000000002e-05,,,10.1016/j.fluid.2015.01.002,phe
5659,-3080431465318847392,298.15,101.0,Liquid,2,COCCO,Solvent,0.2421,,Cc1ccccc1,Solvent,0.7579,,,,,,,,,,0.8795400000000002,0.00083,,,10.1021/je034005y,phe
5660,-4270738634574772398,298.15,101.0,Liquid,2,COCCO,Solvent,0.7487,,Cc1ccccc1,Solvent,0.2512999999999999,,,,,,,,,,0.9289700000000004,0.000625,,,10.1021/je034005y,phe
5714,-8567593556841741254,293.15,100.0,Liquid,2,Cc1ccccc1,Solvent,0.75,,O=Cc1ccco1,Solvent,0.25,,,,,,,,,,0.9282900000000002,0.000475,,,10.1016/j.tca.2015.04.032,phe
5715,-7676985626741736066,293.15,100.0,Liquid,2,Cc1ccccc1,Solvent,0.5,,O=Cc1ccco1,Solvent,0.5,,,,,,,,,,0.9967700000000004,0.00048,,,10.1016/j.tca.2015.04.032,phe
5716,-4750964815157479675,293.15,100.0,Liquid,2,Cc1ccccc1,Solvent,0.25,,O=Cc1ccco1,Solvent,0.75,,,,,,,,,,1.0734000000000004,0.000485,,,10.1016/j.tca.2015.04.032,phe
5717,-8537196252053847834,293.15,100.0,Liquid,2,Cc1ccccc1,Solvent,0.75,,OCc1ccco1,Solvent,0.25,,,,,,,,,,0.9237500000000002,0.000475,,,10.1016/j.tca.2015.04.032,phe
5718,1208926110410198475,293.15,100.0,Liquid,2,Cc1ccccc1,Solvent,0.4499999999999999,,OCc1ccco1,Solvent,0.55,,,,,,,,,,1.0012200000000002,0.000475,,,10.1016/j.tca.2015.04.032,phe
5719,2883698136054697023,293.15,100.0,Liquid,2,Cc1ccccc1,Solvent,0.2498,,OCc1ccco1,Solvent,0.7502,,,,,,,,,,1.0570400000000002,0.000485,,,10.1016/j.tca.2015.04.032,phe
6170,-7553261548537144124,298.15,101.0,Liquid,2,CCOC(=O)OCC,Solvent,0.3006,,Cc1ccccc1,Solvent,0.6994,,,,,,,,,,0.8976700000000002,0.000855,,,10.1021/je050414d,phe
6171,958712628053860027,298.15,101.0,Liquid,2,CCOC(=O)OCC,Solvent,0.5212,,Cc1ccccc1,Solvent,0.4788,,,,,,,,,,0.9217200000000002,0.000745,,,10.1021/je050414d,phe
6172,-217416495669566908,298.15,101.0,Liquid,2,CCOC(=O)OCC,Solvent,0.7016,,Cc1ccccc1,Solvent,0.2984,,,,,,,,,,0.9402800000000002,0.00066,,,10.1021/je050414d,phe
7113,-7884115352214974397,303.15,101.0,Liquid,2,C1COCCO1,Solvent,0.237,,Cc1ccccc1,Solvent,0.763,,,,,,,,,,0.8680000000000002,0.0015,,,10.1021/je0600303,phe
7114,-5191325458611052646,303.15,101.0,Liquid,2,C1COCCO1,Solvent,0.453,,Cc1ccccc1,Solvent,0.5469999999999999,,,,,,,,,,0.8880000000000002,0.0015,,,10.1021/je0600303,phe
7115,-3238024886854369481,303.15,101.0,Liquid,2,C1COCCO1,Solvent,0.744,,Cc1ccccc1,Solvent,0.256,,,,,,,,,,0.9370000000000004,0.001,,,10.1021/je0600303,phe
7116,9207037081391713807,303.15,101.0,Liquid,2,Brc1ccccc1,Solvent,0.202,,Cc1ccccc1,Solvent,0.798,,,,,,,,,,0.9870000000000002,0.001,,,10.1021/je0600303,phe
7117,1320124837945830886,303.15,101.0,Liquid,2,Brc1ccccc1,Solvent,0.503,,Cc1ccccc1,Solvent,0.497,,,,,,,,,,1.1760000000000004,0.002,,,10.1021/je0600303,phe
7118,6551157112664455248,303.15,101.0,Liquid,2,Brc1ccccc1,Solvent,0.703,,Cc1ccccc1,Solvent,0.297,,,,,,,,,,1.3010000000000004,0.003,,,10.1021/je0600303,phe
7176,6290691424970663635,298.15,101.0,Liquid,2,Cc1ccccc1,Solvent,0.7606999999999999,,Cc1ccccc1Cl,Solvent,0.2393,,,,,,,,,,0.9177000000000004,0.000505,,,10.1021/je5004719,phe
7177,2837771645522938405,298.15,101.0,Liquid,2,Cc1ccccc1,Solvent,0.5127999999999999,,Cc1ccccc1Cl,Solvent,0.4872,,,,,,,,,,0.9724100000000002,0.000505,,,10.1021/je5004719,phe
7178,1059510144354503531,298.15,101.0,Liquid,2,Cc1ccccc1,Solvent,0.2769,,Cc1ccccc1Cl,Solvent,0.7231,,,,,,,,,,1.0220000000000002,0.0005,,,10.1021/je5004719,phe
